Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Audit ID,Department,Region,Control Score,Compliance Status,Auditor Name,Audit Date,Violations Count
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,b32f0c0f-b1ce-4ccf-824a-fc0f24aafd1c,IT,APAC,51.02,Pending Review,Natasha Anderson,2025-02-08,2
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Compliance Data,Review Findings,1cf4b80b-6f88-4b0d-8d3b-f3aa428aea2d,HR,EMEA,94.9,Pending Review,Angelica Collins,2025-08-19,3
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Review Findings,2b3fc3e9-dc30-4b8e-879e-886deab4821e,IT,APAC,84.0,Pending Review,Sarah Harrington,2025-06-13,4
Operational Risk,Control Management,Control Monitoring,Review Audit Findings,Monitor,Control Data,Assess Controls,cdcaebab-9570-4f65-a1da-788a8acba58e,IT,EMEA,64.22,Escalated,Gary Moore,2025-07-13,7
Risk Management,Internal Audit Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,dd0bb302-811f-4c3e-b7eb-5bccb0081f39,Finance,Americas,83.66,Pending Review,Christopher Liu,2025-10-11,5
Financial Control,Control Management,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,dfc4142d-7e13-4134-91b4-54c0509272e0,HR,EMEA,90.18,Pending Review,Richard Hill,2025-04-03,9
Financial Control,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Monitor,Audit Data,Review Findings,86a8e5ca-ba30-476c-ac73-0855bd3e68ff,IT,EMEA,97.1,Compliant,Andrea Dixon,2025-07-18,7
Financial Control,Control Management,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Review Findings,f27d477d-bdac-4000-b4e5-c441af72b376,Compliance,Americas,73.23,Escalated,William Jackson,2025-07-25,8
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Review Findings,3aa2c785-6e9a-43b7-b6fd-a4b6c871e601,Operations,APAC,67.61,Non-Compliant,Anna Marshall,2025-01-13,5
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Review Findings,d06c21ff-3ae0-427f-a4e4-e74f8eda1d3f,HR,EMEA,77.5,Pending Review,Devin Buck,2025-05-14,7
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Monitor,Control Data,Assess Controls,2239d3ff-1d27-402a-adb2-996b2df3bc88,Compliance,EMEA,84.7,Pending Review,Kevin Reed,2025-02-20,6
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,c3fd29fe-0688-4dc6-a08f-a862bdb1db72,IT,APAC,78.33,Non-Compliant,Morgan Edwards DVM,2025-03-01,5
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Audit Data,Enforce Segregation of Duties,17226dcd-690d-4f17-8762-1e45cd08e0ae,IT,EMEA,65.05,Compliant,Peter Rush,2025-08-16,2
Financial Control,Control Management,Control Monitoring,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,37de9f3f-364e-4a7b-b7f0-5b0022e7a108,IT,APAC,77.93,Pending Review,Barry Pearson,2025-03-16,4
Financial Control,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Review Findings,8ae9dbe6-b54d-4c02-9263-9fb3b9513fc3,HR,Americas,61.36,Escalated,John Cowan,2025-03-25,8
Risk Management,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Audit Data,Enforce Segregation of Duties,bccfa40f-5196-4c17-b903-638f9ab67b41,Finance,APAC,81.06,Non-Compliant,Jason Kline,2025-01-08,9
Financial Control,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,5d2100fb-72cd-46e8-860f-23b3c14595d5,Finance,Americas,50.22,Escalated,Mr. Chad Ayala,2025-06-30,6
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,30216197-a2c1-4443-a5b0-9373456076a2,IT,EMEA,81.53,Escalated,Michael Ray,2025-09-12,9
Risk Management,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,f2f6039a-7230-46df-b266-167e71c9503b,Compliance,APAC,80.62,Non-Compliant,Andrew Woods,2025-09-10,4
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,d7a260e6-8264-4eda-b6c5-5708b7782747,Finance,Americas,56.75,Pending Review,Tina Shaffer,2025-03-21,3
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Review Findings,d1b906c0-8b83-4bab-8d87-c77c814d379e,IT,APAC,72.94,Compliant,Michael Hernandez,2025-07-18,10
Risk Management,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,1ddd56d5-c752-4f29-a4b4-559f5eed4edc,Finance,APAC,64.26,Compliant,Amy Garrett,2025-09-18,0
Operational Risk,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,698fd267-ce95-4659-9dc1-31d18c9baec1,IT,EMEA,77.28,Pending Review,Bill Bass,2025-09-25,8
Risk Management,Control Management,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Review Findings,74c60221-083f-430a-8e74-3746ded4067a,HR,APAC,71.97,Escalated,Sergio Dunn,2025-04-27,0
Operational Risk,Control Management,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Review Findings,90680e3d-712b-417b-8fe4-e9f542e90a7b,Finance,Americas,74.48,Non-Compliant,Jamie Nelson,2025-04-15,1
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Control Data,Assess Controls,40863ef1-4c9d-42bc-ac6e-ea5913dc554f,Operations,APAC,92.09,Escalated,Diane Fuller,2025-09-24,2
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Audit Data,Review Findings,48ee6228-e6a0-4e8f-be1c-b49b0cad2c2e,Finance,EMEA,61.57,Compliant,Daniel Christensen,2025-08-06,3
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Assess Controls,169567b2-36e3-425a-9268-16c2b56a1b27,Compliance,APAC,92.76,Non-Compliant,Amber Williams,2025-07-05,3
Operational Risk,Control Management,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Control Data,Review Findings,90392374-fee6-422d-9fab-e30c317f2c84,Operations,Americas,91.43,Escalated,Shannon Maldonado,2025-03-21,3
Risk Management,Control Management,Control Monitoring,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,cbd673a0-e9cb-40f3-b73f-a06a5ff7ce2c,Operations,Americas,56.81,Non-Compliant,Carrie Bryant,2025-02-26,2
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Control Data,Enforce Segregation of Duties,6ef934bc-53ca-499b-a59b-be3bb5a1b89a,Compliance,Americas,87.79,Pending Review,Edward Young,2025-09-03,9
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Control Data,Review Findings,6943419c-5f9c-4ac4-9527-5ec907341e2f,Finance,APAC,76.51,Escalated,Tanya Matthews,2025-02-15,10
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Monitor,Audit Data,Assess Controls,53233b8e-589f-410c-a102-9832f5412843,IT,APAC,87.51,Escalated,Derrick Perez,2025-09-06,3
Operational Risk,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,fba17547-7fa7-443f-82fe-ff516fed0a4e,Operations,APAC,59.79,Pending Review,Kathleen Holmes,2025-02-27,6
Risk Management,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,90e30e13-41ff-4752-8367-c6e98df60f85,Operations,APAC,58.15,Non-Compliant,Keith Owen,2025-06-06,5
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,2182aacb-c057-4c42-8ea2-91a440d60794,Operations,Americas,99.71,Compliant,Jessica Davis,2025-02-06,1
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Control Data,Enforce Segregation of Duties,77c0318d-89cf-4fe5-bb33-7fa6a14c6095,IT,EMEA,52.92,Escalated,David Huff,2025-09-19,4
Risk Management,Control Management,Control Monitoring,Enforce Segregation of Duties,Security Value,Audit Data,Review Findings,2293a327-017b-4d7e-98e7-5fb49cc84507,Operations,APAC,94.33,Pending Review,Deborah Henderson,2025-04-22,10
Financial Control,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Audit Data,Assess Controls,90456c7b-385d-4b27-a2e5-236c9ece32f5,Operations,Americas,50.88,Compliant,Brittany Morris,2025-10-03,8
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Review Findings,06f65087-a8aa-4037-9177-d72dc553c9dd,Operations,APAC,56.48,Pending Review,Kimberly Chavez,2025-03-24,8
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Compliance Data,Review Findings,19721cab-dcaf-4838-bd1d-4679e62ef852,Compliance,Americas,52.82,Escalated,Brian Marshall,2025-09-28,5
Financial Control,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,86ff0bee-9f2b-4a73-b6b0-9f903f8e593a,Finance,Americas,52.51,Non-Compliant,Donald Glover,2025-02-07,3
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Compliance Data,Review Findings,2759a078-6713-4f3d-8009-dcc5a8831d08,Finance,APAC,95.05,Compliant,Martin Taylor,2025-04-17,3
Risk Management,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Assess Controls,e59d2b42-a1a4-4638-a8fe-e77dbc76a2a7,IT,EMEA,93.42,Pending Review,Kevin Terrell,2025-05-24,5
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,f7a89440-d595-453c-92b7-1657f5afc08b,Compliance,Americas,66.2,Non-Compliant,William Wiggins,2025-07-28,5
Operational Risk,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Control Data,Enforce Segregation of Duties,725364ef-8e04-4d7e-aa2d-edfb7edefbf9,Compliance,Americas,71.17,Escalated,Dawn Estrada,2025-01-14,4
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Security Value,Compliance Data,Assess Controls,d5630781-9857-4023-bf58-9b27b116bea5,Compliance,APAC,84.95,Pending Review,Victoria Lewis,2025-02-22,6
Risk Management,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Compliance Data,Review Findings,94d14360-b4cc-4a3f-a384-37f8df48512d,HR,EMEA,67.9,Non-Compliant,Alyssa Warner,2025-08-30,2
Operational Risk,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Security Value,Compliance Data,Enforce Segregation of Duties,db44bfb2-2e92-4bb6-a669-5710b728b8ca,Compliance,EMEA,72.52,Pending Review,Amy Rice,2025-05-07,5
Financial Control,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Audit Data,Review Findings,48a80a40-c4c9-43ed-b1f7-864fe3d9d3b8,Finance,APAC,97.72,Pending Review,Rachel Chang,2025-08-13,4
Risk Management,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Compliance Data,Assess Controls,61aae0e8-7707-4b0d-b8f5-2860d28d6826,Compliance,Americas,84.36,Non-Compliant,Robert Davis,2025-06-07,3
Risk Management,Control Management,Audit Reporting,Enforce Segregation of Duties,Security Value,Audit Data,Enforce Segregation of Duties,886b4323-2976-48c3-b951-49354bd2513e,Finance,APAC,70.34,Compliant,Kathleen Hutchinson,2025-06-09,2
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Monitor,Compliance Data,Enforce Segregation of Duties,bb238fda-4008-4751-924e-bb7e99907966,Operations,EMEA,92.47,Non-Compliant,Tonya Stevenson,2025-01-07,9
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Compliance Data,Enforce Segregation of Duties,0f40e957-ce46-4a4e-b006-b5d9bb3e5423,Operations,Americas,71.32,Compliant,Jordan Espinoza,2025-06-28,0
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Review Findings,b29065d1-34a7-4c29-8979-64faaa81c10d,Operations,EMEA,69.98,Pending Review,Taylor Velasquez,2025-05-18,3
Operational Risk,Control Management,Internal Audit and Controls,Review Audit Findings,Security Value,Audit Data,Assess Controls,6f73f2fb-aa35-4b59-9071-e3bbea858007,HR,Americas,97.21,Compliant,Randy Swanson,2025-06-22,10
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Compliance Oversight,Compliance Data,Review Findings,acf71dd0-caf6-4981-b6ad-fb52a385d3f2,Finance,EMEA,85.69,Non-Compliant,Charles Carter,2025-09-11,5
Operational Risk,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Review Findings,6c173237-f5dd-4da2-bb4e-59d65ee70807,HR,APAC,65.17,Pending Review,Ashley Russell,2025-07-08,2
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,7f706963-a275-464d-8e33-b41d98522007,HR,APAC,62.32,Compliant,Allison Ford,2025-04-24,6
Operational Risk,Control Management,Internal Audit and Controls,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,b6abed94-4b39-4f34-ab81-dbd6b9c2dffb,Operations,Americas,91.2,Non-Compliant,Mr. Isaiah Jordan,2025-03-26,9
Risk Management,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Enforce Segregation of Duties,77ca685f-a1af-43b9-85ec-fb9489877878,HR,APAC,82.56,Pending Review,Alan Murphy,2025-07-25,5
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Control Data,Assess Controls,c67b23ef-22a3-426c-aebf-915883d1a888,Finance,APAC,63.3,Compliant,Brittney Jimenez,2025-03-15,6
Financial Control,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Compliance Oversight,Audit Data,Assess Controls,e14eba2a-1657-4ad1-90e2-79851f2452e9,Operations,Americas,61.4,Compliant,David Montoya,2025-09-17,6
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,ff96dc95-f06f-40d7-b4a4-4c2448a4f23a,Finance,Americas,89.92,Pending Review,Laura Pham,2025-01-13,8
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Enforce Segregation of Duties,cbd2af64-36f5-431d-a963-d9681c652e4a,IT,APAC,68.95,Compliant,Alexander Parker,2025-08-23,6
Risk Management,Control Management,Audit Reporting,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,15b39b6d-20a2-45f1-b0ac-a9fa6473c5e2,Operations,APAC,66.35,Non-Compliant,Dr. Ricky Harris,2025-03-09,10
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,d9c2232d-51d4-4d0d-9393-dbaf93e6fac4,Compliance,Americas,65.9,Escalated,Crystal Schmidt,2025-09-13,8
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Compliance Oversight,Control Data,Review Findings,d3736636-db3a-47ba-8f73-b6991ca369d6,IT,EMEA,71.5,Compliant,Erin Walton,2025-04-30,10
Operational Risk,Control Management,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Review Findings,58d25620-75dc-429a-83a8-ee61898e0829,Operations,EMEA,72.43,Non-Compliant,Michael Baker,2025-04-21,7
Financial Control,Control Management,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Enforce Segregation of Duties,236e999b-e0d5-4403-9e51-a0e09839ead2,Compliance,EMEA,99.27,Non-Compliant,William Moore,2025-07-01,10
Operational Risk,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Review Findings,48b9a654-7351-4fbb-92d0-4a85cd2cb8ca,Operations,Americas,63.5,Pending Review,James Washington,2025-06-16,1
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,5e15038d-7cf0-40be-aaf4-eaa056406bf0,HR,APAC,86.11,Escalated,Anna Schwartz,2025-10-02,6
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Compliance Data,Assess Controls,5afc7164-80c0-418d-9f53-03ac11bba3c1,HR,Americas,65.69,Escalated,Keith Holland,2025-02-24,2
Risk Management,Control Management,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Review Findings,1a603160-d9f2-4558-9b58-89ec1b8b79bf,Compliance,APAC,84.26,Non-Compliant,John Clark,2025-03-04,3
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Control Data,Review Findings,3081d63c-8084-4911-bf1c-ba169b727229,IT,APAC,62.81,Escalated,Heidi Allen,2025-06-24,2
Financial Control,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Control Data,Enforce Segregation of Duties,6f13bda7-530e-4c66-8a58-ae63ad5c23e4,Compliance,APAC,60.94,Non-Compliant,Shannon Becker,2025-04-30,4
Operational Risk,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Security Value,Audit Data,Review Findings,dd8c938d-3bbc-497d-9605-ec76bfc98e6e,Compliance,Americas,50.21,Pending Review,Amanda Reid,2025-08-11,2
Financial Control,Control Management,Audit Reporting,Assess Risk Controls,Security Value,Audit Data,Assess Controls,4cc15919-d6b9-46da-ac85-27e34e89c1e5,HR,APAC,58.8,Compliant,Lindsey Martinez,2025-05-10,4
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,dea13337-2311-4cd2-9274-7245026ee19d,IT,EMEA,80.14,Compliant,Jordan Skinner Jr.,2025-02-12,10
Operational Risk,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,02c6686e-e96e-469d-8781-5e6990446ac8,Finance,APAC,57.6,Non-Compliant,Duane Jones,2025-08-28,4
Operational Risk,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,b4264e27-8b3a-4abf-b842-9a3c3bcf4bd4,HR,EMEA,58.72,Non-Compliant,Joseph Reyes,2025-09-11,8
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Compliance Data,Review Findings,298a8d99-9b83-40a3-b7ce-6608763d6838,Operations,EMEA,89.65,Compliant,Leslie Charles,2025-07-10,4
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Compliance Oversight,Audit Data,Assess Controls,5a79007f-23b2-409d-b4f6-183f7b115533,Compliance,EMEA,82.12,Compliant,Nathaniel Barnett,2025-09-11,0
Risk Management,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Assess Controls,20d89139-c6c2-4f0c-90f2-5447c1c0c345,Operations,APAC,58.45,Escalated,Bryan Bell,2025-09-09,4
Risk Management,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,5494971e-4f6b-455b-8bba-0059ebf7f9ce,HR,Americas,90.49,Non-Compliant,Cassandra Shaw,2025-01-16,6
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Monitor,Control Data,Review Findings,fc6e2f0b-c64c-49b3-a3e8-fae824ece818,Operations,EMEA,60.47,Escalated,Thomas Washington,2025-09-03,6
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Compliance Data,Enforce Segregation of Duties,2e350de9-e8eb-419e-8342-222c09d04ff4,Compliance,APAC,57.35,Compliant,Jenna Perkins,2025-03-25,5
Risk Management,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Compliance Data,Enforce Segregation of Duties,d3700a4e-f44b-4e1d-81ed-3750a7a688e7,HR,Americas,55.69,Compliant,Dustin Lopez,2025-09-15,8
Operational Risk,Control Management,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,20d43156-aed3-4c5f-b7e0-36a023559046,IT,EMEA,68.0,Escalated,Colton Frost,2025-08-27,4
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Control Data,Enforce Segregation of Duties,42876967-9960-489e-901f-dd24fc3a3d54,Operations,EMEA,79.73,Pending Review,Jennifer Parks,2025-08-15,8
Risk Management,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Compliance Data,Review Findings,e610f102-d3f6-4d62-98d5-11b2c190ac3c,Operations,EMEA,91.07,Escalated,Elizabeth Hickman,2025-08-30,6
Risk Management,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,f36f6eaa-b405-4fef-950c-95d51f716467,Operations,APAC,53.17,Escalated,Shannon Coleman,2025-01-09,7
Operational Risk,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Compliance Oversight,Compliance Data,Review Findings,a34c52a6-520e-4bd0-b38f-297c863b39b0,Finance,EMEA,88.85,Pending Review,Seth Herring,2025-04-09,5
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Audit Data,Review Findings,77ec2be6-ebf4-4df5-b428-3dd5901951b5,Operations,EMEA,88.29,Escalated,Veronica Mathis,2025-06-25,8
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,0b3eb280-7d56-4b98-8c48-6554c9590fcb,Compliance,Americas,68.3,Non-Compliant,Megan Silva,2025-08-30,1
Risk Management,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Audit Data,Assess Controls,204ce1e1-cc52-4fb0-9897-a3dae059b238,Operations,EMEA,88.65,Non-Compliant,Tracy Bailey,2025-03-12,5
Operational Risk,Internal Audit Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Control Data,Review Findings,01687f6b-15fb-4278-bf78-d6a0cbd44325,HR,APAC,96.65,Escalated,Sherry Butler,2025-05-28,7
Financial Control,Control Management,Control Monitoring,Enforce Segregation of Duties,Monitor,Audit Data,Assess Controls,92c49eba-df93-4e69-b080-5c49f86ab134,IT,APAC,80.18,Compliant,Steven Sanders,2025-02-28,9
Risk Management,Control Management,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,02aa922e-2b27-4041-8e0d-6af60b4979dd,Finance,EMEA,78.07,Escalated,Randall Dickson,2025-06-29,8
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Audit Data,Assess Controls,3639137b-ce50-4c36-8ab0-7b31298f547f,Operations,Americas,72.6,Non-Compliant,Angel Mcdaniel,2025-09-20,6
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Monitor,Control Data,Assess Controls,3e5ba6d7-fe0b-466f-90dc-f22a42cdc7e1,Operations,Americas,78.69,Compliant,Amy Poole,2025-05-16,7
Risk Management,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Security Value,Control Data,Enforce Segregation of Duties,fe986943-c860-4203-af31-6d1e895bec50,HR,Americas,67.88,Non-Compliant,Bradley Wells,2025-02-22,5
Risk Management,Control Management,Control Monitoring,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,c31f178a-8b46-499f-b73a-c55505afce50,IT,Americas,96.96,Escalated,William Woodard,2025-10-01,4
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,52916c6c-1825-4c80-b1ee-d52a8c644eae,IT,EMEA,81.01,Non-Compliant,Nicole Watson,2025-06-14,7
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Control Data,Assess Controls,b11903f5-923e-445c-ad01-b852af8781d6,Operations,EMEA,54.02,Escalated,Kevin Cohen,2025-06-28,10
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Audit Data,Assess Controls,a98eebc2-c485-47b6-8bd8-df86caf9a9bc,HR,EMEA,94.89,Non-Compliant,Michelle Jacobs,2025-10-07,0
Financial Control,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Audit Data,Review Findings,014aca74-7ba8-4141-80af-f011d08a2ad7,Compliance,EMEA,83.98,Escalated,Autumn Myers,2025-06-27,0
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Control Data,Enforce Segregation of Duties,4d288670-4036-4378-ac0e-f0c6f68bdec7,HR,APAC,94.59,Compliant,Shelly Holloway,2025-05-27,4
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Audit Data,Review Findings,8598ef8b-38dd-414f-9fe2-65bc00bba8e0,Operations,APAC,86.26,Pending Review,Mary Perez,2025-04-26,0
Risk Management,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Control Data,Enforce Segregation of Duties,2ef6988a-f170-4940-b27f-f703c7ade46b,IT,Americas,91.87,Escalated,Alicia Weaver,2025-05-02,0
Operational Risk,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Audit Data,Enforce Segregation of Duties,347fb1dc-c83e-4008-b1b4-47300e47a855,Finance,EMEA,71.71,Escalated,Alexa Smith MD,2025-02-14,8
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Review Findings,2509769b-e0c2-4310-9e56-ad5b89cc254a,Operations,EMEA,75.76,Pending Review,Michael Frederick,2025-06-20,4
Risk Management,Internal Audit Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Assess Controls,f04262da-3dda-407b-9261-90400e28248c,HR,APAC,57.99,Pending Review,Sheena Jones,2025-01-17,9
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Security Value,Audit Data,Enforce Segregation of Duties,b5fa9de0-76f0-4298-b0a3-b0d83a359ec9,IT,Americas,97.17,Non-Compliant,Michael Brown,2025-01-02,8
Financial Control,Control Management,Audit Reporting,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,6480549e-e592-46ea-9566-577e91363114,Compliance,EMEA,76.93,Non-Compliant,Michelle Lopez,2025-02-24,9
Operational Risk,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Review Findings,c33139ea-83a3-46e2-b5cb-20e7778ef305,Compliance,APAC,71.78,Non-Compliant,Ernest Russell,2025-05-20,7
